Annee_prod,Bassin_versant,Cap_tot_act,Cap_tot_init,Cote,Date,Latitude,Longitude,Nom_Ar,Nom_Fr,_id,apports,cumul_annee_prec,cumul_annuel_apports,cumul_annuel_lachers,cumul_mensuel_apports,cumul_mensuel_lachers,fonctionnel,id_barrage,lachers,moy_mois,moy_periode,stock,stock_annee_prec
1989,1120.0,77.47,95.3,217.0,2019-05-24T00:00:00,35.5727,9.74681,هـــــــوارب,elhaouareb,90,0.0532798,0.569857,20.9076,1.20311,0.156821,0.062068,1,21,0.0,0.818174,13.9245,7.92006,0.206072
2005,173.65,7.71,4.24,677.8,2019-05-24T00:00:00,35.3413,9.07053,سفيسيفة,sficifa,91,0.000912493,3.21282,3.31525,0.2,0.0159374,0.0,1,22,0.0,2.214,28.9125,2.14347,1.3148
1997,1900.0,88.0,88.0,541.0,2019-05-24T00:00:00,34.7468,8.74761,سيدي يعيــــش ,sidiach,92,0.0,0.244169,5.98988,0.6,0.0,0.0,1,23,0.0,0.262516,1.65763,4.4375,1.157
2002,293.0,16.0,16.0,849.0,2019-05-24T00:00:00,35.4705,8.96766,البــــــــرك,elbrek,93,0.000495675,1.38098,4.02975,0.0,0.0118962,0.0,1,24,0.0,0.0006324,1.65763,2.05,0.9
1959,86.0,5.01,6.5,54.62,2019-05-24T00:00:00,36.7159,10.6262,بزيـــــــغ,bezirk,94,0.0,0.0,19.6347,15.1156,0.0472158,0.0035,1,25,0.0,0.266449,4.87439,4.6308,1.7916
1963,64.0,5.045,7.8,77.88,2019-05-24T00:00:00,36.6923,10.7697,شيبـــــــة,chiba,95,0.0000851595,1.16323,20.2879,16.2586,0.00622878,0.612941,1,26,0.027324,0.191438,6.47772,3.56648,0.56364
1968,53.0,5.193,6.9,163.0,2019-05-24T00:00:00,36.534,10.4911,مصــــــري,masri,96,0.00223362,0.953254,4.56602,7.51864,0.0806592,0.249567,1,27,0.016,0.285983,4.48287,5.13766,4.988
1986,199.0,23.3053,30.1,18.04,2019-05-24T00:00:00,36.7388,10.9218,لبنــــــــة,lebna,97,0.0281757,4.11614,38.0487,17.4954,0.244202,0.354873,1,28,0.00989,0.13729,17.6904,19.4574,7.81351
2002,123.0,12.854,12.1,102.4,2019-05-24T00:00:00,36.5874,10.304,الحمـــــى,hma,98,0.00285633,0.213649,4.20808,0.417378,0.108433,0.22,1,29,0.0,0.0291232,4.38178,3.59999,1.0844
2002,54.0,9.615,10.0,42.2,2019-05-24T00:00:00,36.8308,10.7086,العبيـــــــد,abid,99,0.0023764,3.34322,11.6242,5.55662,0.0320287,0.283833,1,30,0.010631,0.0146496,5.1923,8.56479,3.28168
1954,10300.0,51.13,267.67,265.0,2019-05-23T00:00:00,36.3144,8.70273,مـــــلاق ,mellegue,100,0.0,21.8941,207.218,190.928,2.02172,1.165,1,1,0.050963,17.3775,147.151,37.3076,17.8178
1954,103.0,60.393,61.63,436.5,2019-05-23T00:00:00,36.7471,8.74188,بنيمطيــر ,benmetir,101,0.0,39.1938,49.1189,32.039,0.908381,1.81266,1,2,0.06078,1.27743,42.2784,54.284,52.463
1968,101.0,76.9,81.875,292.04,2019-05-23T00:00:00,36.7614,9.0023,كســاب,kasseb,102,0.0326746,32.3803,48.6001,23.0232,0.601156,2.06223,1,3,0.092,0.913573,42.3816,60.3478,46.5257
1998,177.0,64.7,74.82,182.0,2019-05-23T00:00:00,36.7341,8.53173,بربرة,barbara,103,0.0200488,88.8404,101.15,90.7733,2.48856,1.89374,1,4,0.00864,1.69462,82.1305,64.7551,64.3797
1981,7950.0,580.35,814.0,115.0,2019-05-23T00:00:00,36.5907,9.39706,سيدي ســــالم,sidisalem,104,0.0500636,164.872,625.035,326.749,15.1376,20.1637,1,5,1.03865,19.9305,376.44,565.665,179.641
1976,390.0,112.037,117.5,221.0,2019-05-23T00:00:00,36.6719,8.78758,بو هرتمـــــه,bouheurtma,105,0.139361,71.9675,142.059,80.7549,3.26726,8.71898,1,6,1.8174,2.78374,78.9352,103.736,76.8783
